opstillingskreds_dagi,Opstillingskreds,Partibogstav,Stemmetal,procent_22
403599,Aalborg Nord,V,5732,13.4
403600,Ikast,ALT,303,1.3
403600,Ikast,DD,4065,17.0
403600,Ikast,DF,649,2.7
403600,Ikast,EL,416,1.7
403600,Ikast,FG,63,0.3
403600,Ikast,K,1744,7.3
403600,Ikast,LA,1934,8.1
403600,Ikast,M,1806,7.5
403600,Ikast,NB,957,4.0
403600,Ikast,R,371,1.5
403600,Ikast,S,5747,24.0
403600,Ikast,SF,1069,4.5
403600,Ikast,UP,22,0.1
403600,Ikast,V,4795,20.0
403601,Viborg Øst,ALT,486,1.7
403601,Viborg Øst,DD,3489,12.6
403601,Viborg Øst,DF,520,1.9
403601,Viborg Øst,EL,541,1.9
403601,Viborg Øst,FG,33,0.1
403601,Viborg Øst,K,4631,16.7
403601,Viborg Øst,LA,1858,6.7
403601,Viborg Øst,M,1475,5.3
403601,Viborg Øst,NB,938,3.4
403601,Viborg Øst,R,467,1.7
